id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
0;Belo Horizonte;Leticia;Geladeira;Ian Brady;masculino;boleto
1;São Brás;Cristina;Geladeira;Jack Olson;masculino;dinheiro
2;Belo Horizonte;Leticia;Geladeira;Ruth Scott;feminino;dinheiro
3;São Paulo;Lucas Pereira;Smart Band 9 pro;Dorothy Colucci;feminino;boleto
4;Belo Horizonte;Leticia;Smart Band 9 pro;Danielle Redmond;feminino;cartão de crédito
5;Belo Horizonte;Leticia;Iphone;Maggie Baker;feminino;pix
6;Juiz de Fora;Luiza;Geladeira;Victoria Sandoval;feminino;dinheiro
7;São Brás;Carlos;Smart Band 9 pro;Deborah Aldredge;feminino;pix
8;Belo Horizonte;Luiz;Guitar Condor;Dana Galbraith;feminino;boleto
9;Belo Horizonte;Leticia;Smart Band 9 pro;Douglas Faw;masculino;boleto
10;Belo Horizonte;Luiz;Smart Band 9 pro;Boyce Walls;masculino;pix
11;Juiz de Fora;Marcelo;Smart Band 9 pro;Joseph Roman;masculino;dinheiro
12;Juiz de Fora;Marcelo;Iphone;Sebastian Shoemaker;masculino;pix
13;São Paulo;Lucas Pereira;Smart Band 9 pro;Wayne Wade;masculino;dinheiro
14;São Paulo;Lucas Pereira;Iphone;Lee Ferguson;feminino;boleto
15;Juiz de Fora;Luiza;Geladeira;Bill Forbes;masculino;boleto
16;Belo Horizonte;Luiz;Geladeira;Wade Woodruff;masculino;boleto
17;São Brás;Cristina;Smart Band 9 pro;Jodi Holden;feminino;boleto
18;Belo Horizonte;Luiz;Smart Band 9 pro;Nelly Arnot;feminino;cartão de crédito
19;São Brás;Carlos;Geladeira;Ronald Murray;masculino;dinheiro
20;São Brás;Carlos;Smart Band 9 pro;Anthony Crabtree;masculino;dinheiro
21;São Brás;Carlos;Guitar Condor;Preston Mclean;masculino;cartão de crédito
22;São Paulo;Ana Oliveira;Geladeira;Bruce Oh;masculino;dinheiro
23;Juiz de Fora;Luiza;Geladeira;Charles Simon;masculino;pix
24;São Paulo;Lucas Pereira;Iphone;James Levesque;masculino;boleto
25;Belo Horizonte;Luiz;Iphone;Vanessa Vargas;feminino;pix
26;Juiz de Fora;Marcelo;Iphone;Irene Parsons;feminino;pix
27;São Paulo;Ana Oliveira;Geladeira;Dora Parker;feminino;dinheiro
28;Juiz de Fora;Luiza;Iphone;Van Garcia;masculino;dinheiro
29;São Paulo;Lucas Pereira;Iphone;Scott Drew;masculino;dinheiro
30;São Brás;Carlos;Geladeira;Andrew Yelverton;masculino;pix
31;Belo Horizonte;Luiz;Geladeira;Anthony Foresta;masculino;dinheiro
32;Juiz de Fora;Marcelo;Guitar Condor;William Ortega;masculino;dinheiro
33;São Brás;Carlos;Smart Band 9 pro;Maurine Childress;feminino;cartão de crédito
34;São Paulo;Lucas Pereira;Guitar Condor;Mason Kopicko;masculino;cartão de crédito
35;Juiz de Fora;Marcelo;Smart Band 9 pro;Hunter White;masculino;pix
36;São Paulo;Lucas Pereira;Geladeira;Donald Chavez;masculino;dinheiro
37;São Paulo;Ana Oliveira;Guitar Condor;Sandra Botha;feminino;pix
38;São Paulo;Ana Oliveira;Iphone;James Tasker;masculino;cartão de crédito
